SG-TI_,SG,TI,,GR,FALSE,188890,2289,44723,5354490,289429
UR-FR_,UR,FR,,LU,FALSE,133505,1059,26504,3154179,216477
UR-AR_,UR,AR,,TG-ZH-LU-ZG,FALSE,181373,1518,37637,4481726,268125
SH-JU_,SH,JU,,AG-ZH-SO,FALSE,162012,1231,32775,3913080,228909
VD-TI_,VD,TI,,VS-UR-GR,FALSE,320374,4226,78590,9281280,539758
SH-TG_,SH,TG,,ZH,FALSE,39124,132,7099,851993,54810
AI-SZ_,AI,SZ,,AR,FALSE,78776,1237,19871,2363209,139073
JU-UR_,JU,UR,,AG-SO-LU,FALSE,160226,1762,35897,4275873,249917
SO-FR_,SO,FR,,,FALSE,46812,249,8888,1066646,71370
VS-GL_,VS,GL,,UR-TI,FALSE,152835,3296,42414,4925649,420762
NE-AI_,NE,AI,,TG-AG-ZH-SO-AR,FALSE,276514,1711,53115,6338664,391351
OW-SH_,OW,SH,,ZH-LU-ZG,FALSE,143911,830,25192,2953895,269358
AG-TI_,AG,TI,,SZ-UR-GR-LU-ZG,FALSE,167148,3776,50534,5993325,351681
BS-SZ_,BS,SZ,,AG-ZH,FALSE,126049,1047,26794,3212143,159230
LU-BL_,LU,BL,,AG-SO,FALSE,48068,447,10130,1211862,89455
SZ-ZH_,SZ,ZH,,,FALSE,47297,164,7555,898864,82596
TI-GE_,TI,GE,,VS-UR-GR-VD,FALSE,342213,2615,67973,8056684,602009
TI-UR_,TI,UR,,SZ-GR-LU,FALSE,177628,2753,42196,4960490,458956
JU-GL_,JU,GL,,AG-SZ-ZH-SO,FALSE,227814,1862,47767,5718944,309587
FR-NE_,FR,NE,,,FALSE,81593,1147,20432,2444995,130178
AG-BE_,AG,BE,,OW-LU,FALSE,120750,3059,40412,4816848,202149
BS-VS_,BS,VS,,AG-OW-SO-LU,FALSE,209527,4531,64273,7626032,361253
TG-SH_,TG,SH,,ZH,FALSE,39010,106,6849,821719,55484
FR-ZG_,FR,ZG,,LU,FALSE,121334,607,21955,2633268,162984
TG-AR_,TG,AR,,,FALSE,55415,658,13670,1638554,70041
GL-VS_,GL,VS,,UR-TI,FALSE,156049,4756,55857,6595792,349147
AI-NW_,AI,NW,,SZ-ZH-AR-LU-ZG,FALSE,135076,1166,26987,3214533,218538
SZ-TG_,SZ,TG,,ZH,FALSE,94579,551,17084,2039993,143581
GR-AR_,GR,AR,,AI,FALSE,113511,1144,24457,2919722,173391
LU-GR_,LU,GR,,SZ-ZH-GL-ZG,FALSE,180882,1789,38092,4538388,284863
VD-LU_,VD,LU,,FR-SO,FALSE,182939,965,33427,3991725,253844
GL-SG_,GL,SG,,,FALSE,97274,820,19408,2314923,148398
UR-OW_,UR,OW,,,FALSE,51801,1732,20745,2472807,94990
AG-SZ_,AG,SZ,,ZH-LU-ZG,FALSE,68406,745,15743,1888138,86788
AI-SG_,AI,SG,,AR,FALSE,23572,213,4709,561120,34206
VS-LU_,VS,LU,,OW,FALSE,136694,1923,30775,3553720,358313
ZG-GR_,ZG,GR,,SZ-ZH-GL,FALSE,146183,1649,32011,3813757,237869
GE-SZ_,GE,SZ,,AG-ZH-FR-SO-VD-ZG,FALSE,300408,1759,58118,6970558,365460
VD-UR_,VD,UR,,FR-SO-LU,FALSE,235498,1711,46468,5545497,338027
ZH-NE_,ZH,NE,,AG-SO,FALSE,200292,1414,41306,4950088,267297
GR-ZG_,GR,ZG,,SZ-ZH-GL,FALSE,145924,1331,29565,3515414,246346
BS-SO_,BS,SO,,,FALSE,64177,622,13905,1665994,96599
GR-TG_,GR,TG,,,FALSE,167243,644,29367,3511201,229246
VS-BE_,VS,BE,,,FALSE,36019,1088,12614,1461636,112658
BE-GE_,BE,GE,,VS-VD,FALSE,269391,630,43350,5143876,417057
ZG-VS_,ZG,VS,,OW-LU,FALSE,140117,3898,49510,5866415,259646
NW-NE_,NW,NE,,SO-LU,FALSE,180463,1677,39118,4678737,248204
AR-TI_,AR,TI,,GR-AI,FALSE,167468,2396,41658,4974465,281667
NE-VD_,NE,VD,,,FALSE,65227,1271,17671,2091093,144502
BL-GL_,BL,GL,,AG-SZ-ZH-SO,FALSE,157168,1234,32698,3919168,225406
AR-BS_,AR,BS,,TG-AG-ZH,FALSE,173629,693,30037,3590522,237935
OW-AG_,OW,AG,,LU,FALSE,74861,413,12159,1400817,173512
OW-EN_,OW,EN,,LU,FALSE,134070,978,24517,2875183,263745
BS-EN_,BS,EN,,SO,FALSE,96322,744,19761,2368129,138341
FR-VS_,FR,VS,,,FALSE,159123,3516,49657,5907075,265448
TI-NE_,TI,NE,,FR-UR-GR,FALSE,283275,4483,70390,8289932,617950
NW-BS_,NW,BS,,AG-SO-LU,FALSE,108429,682,20530,2457466,153857
AI-AG_,AI,AG,,TG-ZH-AR-LU,FALSE,135458,1036,25975,3111952,190230
ZG-SH_,ZG,SH,,ZH,FALSE,75909,538,14739,1762138,102927
VD-GE_,VD,GE,,,FALSE,78919,255,12857,1530900,122160
BL-BS_,BL,BS,,,FALSE,32862,21,4767,569014,63522
AR-FR_,AR,FR,,TG-AG-ZH-SO,FALSE,226122,1200,41504,4966587,310671
TG-UR_,TG,UR,,ZH-LU-ZG,FALSE,148803,1396,32002,3826863,215016
GE-ZH_,GE,ZH,,AG-FR-SO-VD,FALSE,280887,1305,51787,6209978,347959
NE-GL_,NE,GL,,AG-SZ-ZH-SO,FALSE,273883,1528,52504,6271082,385527
AI-AR_,AI,AR,,,FALSE,30864,438,7378,878360,50478
ZG-SO_,ZG,SO,,LU,FALSE,85231,507,15975,1916764,107201
UR-VS_,UR,VS,,OW,FALSE,124912,3900,46928,5544065,263729
JU-NW_,JU,NW,,AG-SO-LU,FALSE,139962,1310,29337,3495641,212994
ZG-NE_,ZG,NE,,SO-LU,FALSE,186858,1601,39719,4757908,246335
AI-SH_,AI,SH,,TG-ZH-AR,FALSE,92654,431,15752,1885480,125942
VD-GR_,VD,GR,,AG-SZ-ZH-GL-SO-NE,FALSE,370059,2164,69997,8334160,529168
BL-GE_,BL,GE,,SO-VD-NE,FALSE,223841,836,40186,4811408,310400
VS-BS_,VS,BS,,AG-OW-SO-LU,FALSE,211084,2309,44240,5165315,460437
TI-ZG_,TI,ZG,,SZ-UR-GR,FALSE,136609,2089,31168,3650295,387129
GR-GE_,GR,GE,,VS-UR-VD,FALSE,352730,3049,73986,8797268,550007
NE-TG_,NE,TG,,AG-ZH-SO,FALSE,245454,1204,44641,5324941,356845
BE-SO_,BE,SO,,,FALSE,151661,854,25840,3028394,305422
VD-ZH_,VD,ZH,,AG-SO-NE,FALSE,231800,871,40639,4859942,314653
AG-AR_,AG,AR,,TG-ZH,FALSE,144048,1308,30778,3680331,186726
UR-SG_,UR,SG,,TG-ZH-LU-ZG,FALSE,167773,1217,33435,3988822,243736
SO-GR_,SO,GR,,SZ-ZH-GL-LU-ZG,FALSE,232404,2000,47249,5634878,348470
LU-GL_,LU,GL,,SZ-ZH-ZG,FALSE,119475,1173,26169,3134323,160436
AI-TG_,AI,TG,,AR,FALSE,68031,280,11181,1336434,94287
GL-LU_,GL,LU,,SZ-ZH-ZG,FALSE,118875,639,21261,2536747,175803
TG-NE_,TG,NE,,AG-ZH-SO,FALSE,249303,1888,51709,6196903,327666
ZG-GE_,ZG,GE,,FR-SO-VD-LU,FALSE,267242,1253,48822,5850471,326774
TG-TI_,TG,TI,,GR,FALSE,220234,2387,51100,6117509,315435
ZH-SO_,ZH,SO,,AG,FALSE,101840,442,18512,2220757,136261
LU-SG_,LU,SG,,TG-AG-ZH,FALSE,141109,1100,28746,3442700,180630
VD-SZ_,VD,SZ,,AG-ZH-SO-ZG-NE,FALSE,254202,1393,47893,5731737,334218
